WKT,name,description
"POINT (139.7005046 35.6594011)",Shibuya crossing,
"POINT (139.7026251 35.6387161)",Nakameguro,
"POINT (139.7742695 35.6802902)",Pokémon Center Tokyo DX,
"POINT (139.7009938 35.69503750000001)",SOD LAND,
"POINT (139.7097661 35.7331769)",Muscle Girls Muscle Girls,
"POINT (139.6388669 35.4554755)",Cup Noodles Museum Yokohama (Momofuku Ando Invention Memorial),
"POINT (139.7744733 35.7022589)",Akihabara,
"POINT (139.7026251 35.6960834)",Kabukicho,
"POINT (139.7634909 35.6702017)",Uniqlo Ginza,
"POINT (139.709008 35.6699682)",Harajuku,
"POINT (139.6967028 35.6715869)",Yoyogi Park,
"POINT (139.8107004 35.71006269999999)",Tokyo Skytree,
"POINT (139.7454329 35.6585805)",Tokyo Tower,
"POINT (139.7734312 35.7147557)",Ueno Park,
"POINT (139.7195415 35.7289709)",Sunshine City,
"POINT (139.6921007 35.6896342)",Tokyo Metropolitan Government Building,
"POINT (139.7047611 35.6941118)",Shinjuku Golden Gai,
"POINT (139.7965348 35.7106489)",Taitō Sightseeing Volunteer Guide,
"POINT (139.7966553 35.7147651)",Sensō-ji,
"POINT (139.7300767 35.6602384)",Roppongi Hills,
"POINT (139.7292785 35.6604621)",Mori Art Museum,
"POINT (139.7897739 35.6491207)",teamLab Planets TOKYO,
"POINT (139.7708862 35.6653213)",Tsukijijogai Market,
"POINT (139.6993259 35.67639760000001)",Meiji Jingu,
"POINT (139.7399433 35.6746667)",Hie Shrine,
"POINT (139.7292314 35.6604523)",Tokyo City View,
"POINT (139.7215039 35.7608549)",Jūjō Ginza Shopping Street,
"POINT (139.6656524 35.7092475)",Nakano Broadway,
"POINT (139.7671248 35.68123620000001)",Tokyo Station,
"POINT (139.7527995 35.685175)",Imperial Palace,
"POINT (139.5945118 35.7523856)",Toei Animation Museum,
"POINT (139.7678943 35.7020186)",Kanda Myojin Shrine,
"POINT (139.7224783 35.6852851)",Suga Jinja,
